2023-01-22 20:29:19 [background-preinit] INFO  : HV000001: Hibernate Validator 6.2.5.Final
2023-01-22 20:29:19 [main] INFO  : Starting SpotifyApplication using Java 18.0.2-ea on gabi-HP-EliteBook-820-G2 with PID 60808 (/home/gabi/Facultate/POS/POS_homeworks/activitate-laborator-2022-2023-UrsachiGabriela/Proiect/API_GATEWAY/target/classes started by gabi in /home/gabi/Facultate/POS/POS_homeworks/activitate-laborator-2022-2023-UrsachiGabriela/Proiect/API_GATEWAY)
2023-01-22 20:29:19 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2023-01-22 20:29:23 [main] INFO  : Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$411d3bce] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-01-22 20:29:23 [main] INFO  : Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2023-01-22 20:29:23 [main] INFO  : Tomcat initialized with port(s): 8082 (http)
2023-01-22 20:29:23 [main] INFO  : Initializing ProtocolHandler ["http-nio-8082"]
2023-01-22 20:29:23 [main] INFO  : Starting service [Tomcat]
2023-01-22 20:29:23 [main] INFO  : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-01-22 20:29:24 [main] INFO  : Initializing Spring embedded WebApplicationContext
2023-01-22 20:29:24 [main] INFO  : Root WebApplicationContext: initialization completed in 4156 ms
2023-01-22 20:29:24 [main] INFO  : Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2023-01-22 20:29:25 [main] INFO  : Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2023-01-22 20:29:26 [main] INFO  : Starting ProtocolHandler ["http-nio-8082"]
2023-01-22 20:29:26 [main] INFO  : Tomcat started on port(s): 8082 (http) with context path ''
2023-01-22 20:29:26 [main] INFO  : Started SpotifyApplication in 8.997 seconds (JVM running for 10.189)
2023-01-22 20:29:27 [http-nio-8082-exec-2] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-22 20:29:27 [http-nio-8082-exec-2] INFO  : Initializing Servlet 'dispatcherServlet'
2023-01-22 20:29:27 [http-nio-8082-exec-2] INFO  : Completed initialization in 3 ms
2023-01-22 20:29:27 [http-nio-8082-exec-2] INFO  : [ControllerAdvice] -> handle MethodArgumentNotValidException, details:Validation failed for argument [0] in public org.springframework.http.ResponseEntity<java.lang.Object> spotify.controller.AuthController.register(spotify.view.requests.RegisterRequest): [Field error in object 'registerRequest' on field 'name': rejected value [AnaAreMere-123]; codes [Pattern.registerRequest.name,Pattern.name,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [registerRequest.name,name]; arguments []; default message [name],[Ljavax.validation.constraints.Pattern$Flag;@25ed7092,^[- a-zA-Z\s]+]; default message [Invalid name format]] 
2023-01-22 20:29:49 [http-nio-8082-exec-3] INFO  : [AuthController] -> POST, register: request:RegisterRequest(name=AnaAreMere, password=AnaAreMere-123)
2023-01-22 20:30:36 [http-nio-8082-exec-4] INFO  : [AuthController] -> POST, logout: token:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM5LCAiZXhwIjogIjIwMjMtMDEtMjJUMjA6NTg6MjIuMDE2NzIyIiwgImp0aSI6ICI4Y2ZjZjc1ZS05YTgyLTExZWQtOWJjOC0yMWY0N2VkNDQwNGEiLCAicm9sZXMiOiBbIkFQUF9BRE1JTiJdfQ.zksfYw0iUEEx2TPsjh53JAM7Taj3N3wRSu5WNpJ84tE
2023-01-22 20:30:58 [http-nio-8082-exec-5] INFO  : [AuthController] -> POST, login: request:LoginRequest(name=admin, password=admin)
2023-01-22 20:31:17 [http-nio-8082-exec-6] INFO  : [AuthController] -> POST, login: request:LoginRequest(name=Gabi-12345, password=Gabi-12345)
