2023-01-22 21:41:06 [background-preinit] INFO  : HV000001: Hibernate Validator 6.2.5.Final
2023-01-22 21:41:06 [main] INFO  : Starting SpotifyApplication using Java 18.0.2-ea on gabi-HP-EliteBook-820-G2 with PID 6319 (/home/gabi/Facultate/POS/POS_homeworks/activitate-laborator-2022-2023-UrsachiGabriela/Proiect/SONGS_ARTISTS/target/classes started by gabi in /home/gabi/Facultate/POS/POS_homeworks/activitate-laborator-2022-2023-UrsachiGabriela/Proiect/SONGS_ARTISTS)
2023-01-22 21:41:06 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2023-01-22 21:41:08 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-01-22 21:41:08 [main] INFO  : Finished Spring Data repository scanning in 122 ms. Found 2 JPA repository interfaces.
2023-01-22 21:41:08 [main] INFO  : Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$f6366be2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-01-22 21:41:08 [main] INFO  : Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2023-01-22 21:41:09 [main] INFO  : Tomcat initialized with port(s): 8080 (http)
2023-01-22 21:41:09 [main] INFO  : Initializing ProtocolHandler ["http-nio-8080"]
2023-01-22 21:41:09 [main] INFO  : Starting service [Tomcat]
2023-01-22 21:41:09 [main] INFO  : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-01-22 21:41:09 [main] INFO  : Initializing Spring embedded WebApplicationContext
2023-01-22 21:41:09 [main] INFO  : Root WebApplicationContext: initialization completed in 2803 ms
2023-01-22 21:41:09 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-01-22 21:41:09 [main] INFO  : HHH000412: Hibernate ORM core version 5.6.12.Final
2023-01-22 21:41:10 [main] INFO  : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-01-22 21:41:10 [main] INFO  : HikariPool-1 - Starting...
2023-01-22 21:41:10 [main] INFO  : HikariPool-1 - Start completed.
2023-01-22 21:41:10 [main] INFO  : HHH000400: Using dialect: org.hibernate.dialect.MariaDB106Dialect
2023-01-22 21:41:11 [main] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-01-22 21:41:11 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-01-22 21:41:11 [main] INFO  : Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2023-01-22 21:41:12 [main] INFO  : Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2023-01-22 21:41:12 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-01-22 21:41:14 [main] INFO  : Starting ProtocolHandler ["http-nio-8080"]
2023-01-22 21:41:15 [main] INFO  : Tomcat started on port(s): 8080 (http) with context path ''
2023-01-22 21:41:15 [main] INFO  : Started SpotifyApplication in 9.36 seconds (JVM running for 10.767)
2023-01-22 21:41:17 [http-nio-8080-exec-1] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-22 21:41:17 [http-nio-8080-exec-1] INFO  : Initializing Servlet 'dispatcherServlet'
2023-01-22 21:41:17 [http-nio-8080-exec-1] INFO  : Completed initialization in 9 ms
2023-01-22 21:41:18 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:41:20 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getAllSongs: page:1, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:41:22 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:02 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:13 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:22 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:24 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:25 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:39 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:1, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:42:40 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:43:07 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:32 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:34 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:36 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:43 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:52 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:44:57 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:45:58 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:11 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:18 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:25 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:28 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:40 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:46:52 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:47:07 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:47:15 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:47:15 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:47:34 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:47:48 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 21:49:50 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getSongById, songId:74
2023-01-22 21:51:41 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:20 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:20 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:21 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:21 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:22 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:22 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:22 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:22 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:23 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:23 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:23 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:23 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:24 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:24 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
